ID,result
1,0
4,0
6,0
8,0
10,0
12,0
17,0
19,0
20,0
23,0
24,0
25,0
28,0
29,0
30,0
31,0
32,0
34,0
36,0
38,0
39,0
45,0
50,0
53,0
54,0
57,0
63,0
64,0
65,0
67,0
70,0
72,0
74,0
76,0
77,0
84,0
85,0
88,0
89,0
91,0
95,0
98,0
102,0
104,0
105,0
106,0
107,0
108,0
111,0
115,0
116,0
117,0
118,0
119,0
124,0
125,0
132,0
135,0
140,0
142,0
143,0
144,0
147,0
149,0
152,0
156,0
158,0
159,0
161,0
164,0
169,0
171,0
177,0
178,0
181,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
192,0
193,0
196,0
197,0
199,0
200,0
203,0
204,0
205,0
207,0
209,0
211,0
214,0
215,0
218,0
230,0
235,0
239,0
240,0
241,0
242,0
244,0
245,0
246,0
248,0
252,0
256,0
257,0
266,0
268,0
269,0
271,0
272,0
273,0
278,0
281,0
283,0
290,0
291,0
294,0
299,0
301,0
302,0
303,0
304,0
309,0
310,0
311,0
312,0
313,0
315,0
316,0
317,0
321,0
326,0
330,0
335,0
342,0
343,0
344,0
351,0
353,0
354,0
357,0
360,0
362,0
365,0
366,0
368,0
370,0
374,0
375,0
376,0
377,0
378,0
381,0
382,0
383,0
384,0
385,0
386,0
390,0
391,0
392,0
395,0
396,0
399,0
402,0
403,0
407,0
417,0
418,0
419,0
420,0
422,0
423,0
426,0
429,0
434,0
437,0
440,0
444,0
452,0
454,0
457,0
461,0
462,0
468,0
470,0
481,0
482,0
483,0
487,0
493,1
495,0
498,0
501,0
503,0
507,0
510,0
512,0
514,0
516,0
521,0
530,0
531,0
539,0
540,0
542,0
543,0
547,0
548,0
551,0
553,0
554,0
556,0
557,0
558,0
559,0
566,0
567,0
568,0
573,0
574,0
576,0
581,0
585,0
591,0
597,0
599,0
600,0
601,0
610,0
613,0
615,0
618,0
619,0
622,0
625,0
629,0
630,0
633,0
639,0
642,0
651,0
652,0
653,0
655,0
659,0
660,0
662,0
665,0
667,0
668,0
675,0
676,0
678,0
680,0
682,0
685,0
691,0
692,0
693,0
695,0
696,0
698,0
702,0
703,0
709,0
712,0
714,0
718,0
721,0
724,0
730,0
736,0
738,0
740,0
742,0
745,0
748,0
749,1
750,0
752,0
753,0
755,0
758,0
759,0
762,0
764,0
765,0
767,0
771,0
774,0
775,0
778,0
782,0
788,0
790,0
791,0
793,0
794,0
795,0
802,0
804,0
807,0
808,0
809,0
810,0
811,0
813,0
815,0
816,0
825,0
827,0
828,0
830,0
832,0
833,0
836,0
840,0
842,0
843,0
848,0
849,0
851,0
852,0
859,0
861,0
863,0
866,0
871,0
872,0
881,0
882,0
883,0
884,0
887,0
888,0
896,0
897,0
898,0
899,0
900,0
902,0
903,0
904,0
906,0
909,0
917,0
920,0
923,0
924,0
927,0
929,0
931,0
933,0
934,0
935,0
936,0
938,0
940,0
942,0
943,0
944,0
945,0
948,0
949,0
950,0
954,0
956,0
957,0
964,0
965,0
973,0
974,0
975,0
977,0
980,0
981,0
990,0
992,0
994,0
997,0
999,0
1000,0
1001,0
1009,0
1011,0
1012,0
1013,0
1016,0
1025,0
1026,0
1029,0
1032,0
1034,0
1039,0
1040,0
1045,0
1047,0
1055,0
1059,0
1061,0
1063,0
1070,0
1073,0
1075,0
1077,0
1078,0
1079,0
1083,0
1086,0
1090,0
1095,0
1098,0
1100,0
1103,0
1104,0
1107,0
1108,0
1111,0
1113,0
1114,0
1117,0
1118,0
1121,0
1123,0
1124,0
1128,0
1131,0
1132,0
1133,0
1134,0
1136,0
1137,0
1141,0
1145,0
1150,0
1153,0
1154,0
1157,0
1158,0
1160,0
1163,0
1164,0
1165,0
1168,0
1173,0
1174,0
1176,0
1177,0
1178,0
1180,0
1181,0
1183,0
1187,0
1188,0
1191,0
1193,0
1195,0
1197,0
1202,0
1203,0
1205,0
1215,1
1216,0
1217,0
1218,0
1219,0
