ID,label,lable
1,0.1,0.5913861494289417
4,0.1,0.12960520051057595
6,0.1,0.3526077486693248
8,0.1,0.18149944942937715
10,0.1,0.4600391554480164
12,0.1,0.01897945721360167
17,0.1,0.09524131292912634
19,0.1,0.12446717040833039
20,0.1,0.46603247562393824
23,0.1,0.42193173430801706
24,0.1,0.020364443709133387
25,0.1,0.04353200530777676
28,0.1,0.19426599766219596
29,0.1,0.22159861342392725
30,0.1,0.0326099543140614
31,0.1,0.22985414810191687
32,0.1,0.08650394253022635
34,0.1,0.006600202135021053
36,0.1,0.5400475953313034
38,0.1,0.1805079459526411
39,0.1,0.056337206449638175
45,0.1,0.1894190936099029
50,0.1,0.44738396498402905
53,0.1,0.014739722168550457
54,0.1,0.3071730576115219
57,0.1,0.7123645325683033
63,0.1,0.045776545670263645
64,0.1,0.5291063349292426
65,0.1,0.007871309457861898
67,0.1,0.15466910963032363
70,0.1,0.015286121915171818
72,0.1,0.38809953202594716
74,0.1,0.10398653201193608
76,0.1,0.09407757510065663
77,0.1,0.029329999236839887
84,0.1,0.01756089791194365
85,0.1,0.0399352001275403
88,0.1,0.23021925879922997
89,0.1,0.6904340289160331
91,0.1,0.049792357348315226
95,0.1,0.05509336219065116
98,0.1,0.19334496403796436
102,0.1,0.009130422769775942
104,0.1,0.2994135244000905
105,0.1,0.11785699936365991
106,0.1,0.23021925879922997
107,0.1,0.05946758384589809
108,0.1,0.2801455017345112
111,0.1,0.46488033712010723
115,0.1,0.14013412174844914
116,0.1,0.4931700284918934
117,0.1,0.45644795506896735
118,0.1,0.5199568204623968
119,0.1,0.05275608410615709
124,0.1,0.0480874810942349
125,0.1,0.16567684918098774
132,0.1,0.023008217834564637
135,0.1,0.1066532303249005
140,0.1,0.04576295103148639
142,0.1,0.3219060269072072
143,0.1,0.2805473951993791
144,0.1,0.36381497030548476
147,0.1,0.7049824791636792
149,0.1,0.050009673836540515
152,0.1,0.45008906747576183
156,0.1,0.022464419435478625
158,0.1,0.013859299732180247
159,0.1,0.04823681841478754
161,0.1,0.246526018878147
164,0.1,0.03341506432987025
169,0.1,0.08106984587685885
171,0.1,0.5906206846311759
177,0.1,0.30042071897555933
178,0.1,0.27575958465146533
181,0.1,0.0266534254949121
183,0.1,0.20298440494751005
184,0.1,0.051030035182390625
185,0.1,0.015503206491731973
186,0.1,0.009074951233285675
187,0.1,0.7102205449125144
188,0.1,0.19607970284217205
189,0.1,0.09387714084858093
192,0.1,0.584848090787995
193,0.1,0.2997129986650796
196,0.1,0.009213288534853788
197,0.1,0.4023066587941853
199,0.1,0.3221207911809431
200,0.1,0.5882692883098172
203,0.1,0.022628312848004893
204,0.1,0.817256294317836
205,0.1,0.6786043021368011
207,0.1,0.3732721398336573
209,0.1,0.007664736536981647
211,0.1,0.339775930917849
214,0.1,0.04265240117258162
215,0.1,0.16425265925881055
218,0.1,0.048963704482507774
230,0.1,0.015644369494886314
235,0.1,0.5137641609881363
