ID,label,pred
1,0.1,0.25910205
4,0.1,0.17672862
6,0.1,0.20867316
8,0.1,0.39132062
10,0.1,0.23946422
12,0.1,0.07348696
17,0.1,0.17432095
19,0.1,0.16913457
20,0.1,0.31810358
23,0.1,0.23761562
24,0.1,0.08264274
25,0.1,0.12651819
28,0.1,0.23542465
29,0.1,0.23286517
30,0.1,0.09177105
31,0.1,0.23161085
32,0.1,0.12635644
34,0.1,0.0694954
36,0.1,0.36386117
38,0.1,0.2067031
39,0.1,0.1228059
45,0.1,0.27291995
50,0.1,0.41080385
53,0.1,0.08322427
54,0.1,0.25060555
57,0.1,0.2877189
63,0.1,0.11591013
64,0.1,0.37987524
65,0.1,0.06541151
67,0.1,0.098692134
70,0.1,0.046246856
72,0.1,0.1943929
74,0.1,0.12251457
76,0.1,0.11494723
77,0.1,0.06818394
84,0.1,0.07413439
85,0.1,0.12555002
88,0.1,0.21522655
89,0.1,0.37425345
91,0.1,0.11440318
95,0.1,0.10774102
98,0.1,0.22819547
102,0.1,0.02192103
104,0.1,0.30188647
105,0.1,0.17058633
106,0.1,0.22085653
107,0.1,0.07619807
108,0.1,0.23239611
111,0.1,0.24339221
115,0.1,0.17626931
116,0.1,0.21244495
117,0.1,0.27352747
118,0.1,0.1676946
119,0.1,0.11988447
124,0.1,0.08176886
125,0.1,0.23295291
132,0.1,0.06282695
135,0.1,0.106859386
140,0.1,0.13647278
142,0.1,0.28907314
143,0.1,0.30469292
144,0.1,0.23701978
147,0.1,0.25166565
149,0.1,0.1248103
152,0.1,0.29889372
156,0.1,0.041014705
158,0.1,0.07873723
159,0.1,0.10571601
161,0.1,0.24460953
164,0.1,0.08607281
169,0.1,0.11571311
171,0.1,0.36923268
177,0.1,0.372243
178,0.1,0.23520017
181,0.1,0.07517476
183,0.1,0.26910874
184,0.1,0.12091371
185,0.1,0.047094647
186,0.1,0.044385113
187,0.1,0.22088896
188,0.1,0.21147873
189,0.1,0.14550541
192,0.1,0.22289222
193,0.1,0.34139496
196,0.1,0.06198487
197,0.1,0.22792187
199,0.1,0.1164118
200,0.1,0.23704414
203,0.1,0.057728115
204,0.1,0.41548964
205,0.1,0.4388741
207,0.1,0.3121363
209,0.1,0.08667173
211,0.1,0.18012688
214,0.1,0.036090877
215,0.1,0.12983187
218,0.1,0.1340387
230,0.1,0.064628564
235,0.1,0.2880764
239,0.1,0.31157905
240,0.1,0.3050333
241,0.1,0.34373286
242,0.1,0.092722654
244,0.1,0.45742953
245,0.1,0.0973713
246,0.1,0.123862185
248,0.1,0.10160126
252,0.1,0.2181255
256,0.1,0.17130719
257,0.1,0.15792106
266,0.1,0.27722138
268,0.1,0.09184818
269,0.1,0.36395133
271,0.1,0.29928342
272,0.1,0.36295354
273,0.1,0.39298415
278,0.1,0.18830281
281,0.1,0.09864395
283,0.1,0.30521306
290,0.1,0.22509144
291,0.1,0.1344408
294,0.1,0.12448033
299,0.1,0.11191861
301,0.1,0.25285333
302,0.1,0.11819865
303,0.1,0.09355553
304,0.1,0.045800537
309,0.1,0.20527273
310,0.1,0.08282589
311,0.1,0.036017045
312,0.1,0.13391592
313,0.1,0.12484448
315,0.1,0.22776456
316,0.1,0.05725602
317,0.1,0.19788826
321,0.1,0.061267365
326,0.1,0.29310638
330,0.1,0.22053365
335,0.1,0.1834695
342,0.1,0.07466642
343,0.1,0.071917936
344,0.1,0.23570225
351,0.1,0.19583867
353,0.1,0.25473845
354,0.1,0.22578281
357,0.1,0.40224868
360,0.1,0.050691422
362,0.1,0.34073833
365,0.1,0.21038249
366,0.1,0.043644257
368,0.1,0.21542414
370,0.1,0.04776654
374,0.1,0.26794228
375,0.1,0.058940236
376,0.1,0.13596877
377,0.1,0.34755227
378,0.1,0.1658294
381,0.1,0.22710052
382,0.1,0.21154581
383,0.1,0.042840183
384,0.1,0.13288645
385,0.1,0.30285558
386,0.1,0.20555209
390,0.1,0.25123325
391,0.1,0.23852658
392,0.1,0.036226813
395,0.1,0.2096666
396,0.1,0.23001494
399,0.1,0.12445436
402,0.1,0.17190775
403,0.1,0.07834025
407,0.1,0.28366116
417,0.1,0.18416426
418,0.1,0.23513746
419,0.1,0.19859894
420,0.1,0.31447017
422,0.1,0.25726038
423,0.1,0.26698658
426,0.1,0.37248942
429,0.1,0.13891919
434,0.1,0.026567606
437,0.1,0.41796443
440,0.1,0.24415514
444,0.1,0.17614494
452,0.1,0.13730283
454,0.1,0.12838285
457,0.1,0.06728963
461,0.1,0.12751663
462,0.1,0.18797615
468,0.1,0.31823087
470,0.1,0.0844518
481,0.1,0.18933716
482,0.1,0.04215907
483,0.1,0.1803395
487,0.1,0.39071915
493,0.1,0.57237494
495,0.1,0.20688869
498,0.1,0.21269222
501,0.1,0.30699608
503,0.1,0.25936717
507,0.1,0.34527546
510,0.1,0.10538218
512,0.1,0.06344867
514,0.1,0.44613677
516,0.1,0.14274968
521,0.1,0.07776386
530,0.1,0.072885886
531,0.1,0.23749477
539,0.1,0.33016405
540,0.1,0.21301527
542,0.1,0.45885926
543,0.1,0.16191949
547,0.1,0.04286092
548,0.1,0.254359
551,0.1,0.16019076
553,0.1,0.24813844
554,0.1,0.04552097
556,0.1,0.117721714
557,0.1,0.119058535
558,0.1,0.043632682
559,0.1,0.10449381
566,0.1,0.25156313
567,0.1,0.052964263
568,0.1,0.10199193
573,0.1,0.06603056
574,0.1,0.123715304
576,0.1,0.25676218
581,0.1,0.216927
585,0.1,0.046005245
591,0.1,0.2998858
597,0.1,0.2017311
599,0.1,0.015892372
600,0.1,0.2176788
601,0.1,0.01724273
610,0.1,0.048354596
613,0.1,0.051340178
615,0.1,0.030742362
618,0.1,0.19642463
619,0.1,0.08322585
622,0.1,0.028330695
625,0.1,0.19019441
629,0.1,0.19735669
630,0.1,0.23302639
633,0.1,0.04990852
639,0.1,0.031895764
642,0.1,0.17846258
651,0.1,0.060517993
652,0.1,0.09801307
653,0.1,0.032072634
655,0.1,0.037151475
659,0.1,0.02617493
660,0.1,0.06104811
662,0.1,0.06057476
665,0.1,0.05118732
667,0.1,0.21231255
668,0.1,0.09726453
675,0.1,0.19098382
676,0.1,0.21830662
678,0.1,0.07885882
680,0.1,0.23662494
682,0.1,0.18404764
685,0.1,0.038343746
691,0.1,0.021713866
692,0.1,0.1677308
693,0.1,0.20922972
695,0.1,0.18631768
696,0.1,0.05098172
698,0.1,0.062482018
702,0.1,0.111275695
703,0.1,0.2331837
709,0.1,0.40492344
712,0.1,0.09414744
714,0.1,0.20509078
718,0.1,0.062357653
721,0.1,0.062001035
724,0.1,0.067123316
730,0.1,0.032072634
736,0.1,0.23710237
738,0.1,0.1829536
740,0.1,0.0494823
742,0.1,0.19739184
745,0.1,0.048845187
748,0.1,0.30127203
749,0.1,0.536782
750,0.1,0.14409962
752,0.1,0.18667701
753,0.1,0.048852153
755,0.1,0.059274748
758,0.1,0.061407052
759,0.1,0.098532856
762,0.1,0.05601214
764,0.1,0.22607854
765,0.1,0.04562167
767,0.1,0.050092734
771,0.1,0.22935797
774,0.1,0.086478025
775,0.1,0.032064926
778,0.1,0.056095105
782,0.1,0.10308741
788,0.1,0.017769858
790,0.1,0.16684115
791,0.1,0.038525656
793,0.1,0.030004269
794,0.1,0.19566764
795,0.1,0.07023285
802,0.1,0.033143423
804,0.1,0.23153931
807,0.1,0.435929
808,0.1,0.10562818
809,0.1,0.15329261
810,0.1,0.19881812
811,0.1,0.0597594
813,0.1,0.052229878
815,0.1,0.093556054
816,0.1,0.16889529
825,0.1,0.13593572
827,0.1,0.20944667
828,0.1,0.1119794
830,0.1,0.13633984
832,0.1,0.08075023
833,0.1,0.031251714
836,0.1,0.25264865
840,0.1,0.19249804
842,0.1,0.1855503
843,0.1,0.39943948
848,0.1,0.26214573
849,0.1,0.18015678
851,0.1,0.07156843
852,0.1,0.1049264
859,0.1,0.16901584
861,0.1,0.03016638
863,0.1,0.024074998
866,0.1,0.20342995
871,0.1,0.076471925
872,0.1,0.18396224
881,0.1,0.08281125
882,0.1,0.415744
883,0.1,0.016920313
884,0.1,0.10112802
887,0.1,0.02025164
888,0.1,0.22024374
896,0.1,0.16769151
897,0.1,0.02890307
898,0.1,0.023362827
899,0.1,0.12234697
900,0.1,0.044401295
902,0.1,0.10243175
903,0.1,0.19418652
904,0.1,0.24205177
906,0.1,0.0744774
909,0.1,0.16977468
917,0.1,0.1976095
920,0.1,0.04218783
923,0.1,0.37183207
924,0.1,0.19836034
927,0.1,0.07043705
929,0.1,0.08551711
931,0.1,0.23659138
933,0.1,0.066107765
934,0.1,0.04813496
935,0.1,0.1800716
936,0.1,0.060870845
938,0.1,0.056795575
940,0.1,0.122535706
942,0.1,0.06660976
943,0.1,0.10679928
944,0.1,0.05084799
945,0.1,0.17959236
948,0.1,0.07996119
949,0.1,0.25442237
950,0.1,0.19467464
954,0.1,0.2085465
956,0.1,0.10448412
957,0.1,0.044652473
964,0.1,0.03443508
965,0.1,0.046912495
973,0.1,0.20124373
974,0.1,0.059586808
975,0.1,0.031978264
977,0.1,0.03577738
980,0.1,0.18743655
981,0.1,0.051713195
990,0.1,0.027300349
992,0.1,0.02144563
994,0.1,0.18502687
997,0.1,0.24280478
999,0.1,0.19627461
1000,0.1,0.022712052
1001,0.1,0.27745414
1009,0.1,0.095299974
1011,0.1,0.24584664
1012,0.1,0.019904496
1013,0.1,0.055444177
1016,0.1,0.02555022
1025,0.1,0.02854546
1026,0.1,0.14969502
1029,0.1,0.29224685
1032,0.1,0.02528243
1034,0.1,0.11882203
1039,0.1,0.08193279
1040,0.1,0.082486674
1045,0.1,0.023654802
1047,0.1,0.14160009
1055,0.1,0.33287576
1059,0.1,0.30256608
1061,0.1,0.040535845
1063,0.1,0.3107573
1070,0.1,0.22419904
1073,0.1,0.3074699
1075,0.1,0.3463476
1077,0.1,0.09844642
1078,0.1,0.22289884
1079,0.1,0.019904496
1083,0.1,0.04936436
1086,0.1,0.072719246
1090,0.1,0.047686055
1095,0.1,0.11168478
1098,0.1,0.18501179
1100,0.1,0.09498812
1103,0.1,0.14057736
1104,0.1,0.116369136
1107,0.1,0.18956636
1108,0.1,0.36000058
1111,0.1,0.02669822
1113,0.1,0.1063304
1114,0.1,0.121661514
1117,0.1,0.08536055
1118,0.1,0.26014498
1121,0.1,0.09906901
1123,0.1,0.1297039
1124,0.1,0.28997785
1128,0.1,0.1137446
1131,0.1,0.056094576
1132,0.1,0.20746106
1133,0.1,0.08605977
1134,0.1,0.062899366
1136,0.1,0.024239896
1137,0.1,0.17618321
1141,0.1,0.0678958
1145,0.1,0.18795756
1150,0.1,0.18111487
1153,0.1,0.044116493
1154,0.1,0.052920606
1157,0.1,0.084360674
1158,0.1,0.08183489
1160,0.1,0.13431618
1163,0.1,0.19445965
1164,0.1,0.1112076
1165,0.1,0.17732681
1168,0.1,0.099341
1173,0.1,0.109597676
1174,0.1,0.07589526
1176,0.1,0.19637743
1177,0.1,0.22405623
1178,0.1,0.16195229
1180,0.1,0.108133115
1181,0.1,0.06725103
1183,0.1,0.09382142
1187,0.1,0.18766493
1188,0.1,0.07803411
1191,0.1,0.17329913
1193,0.1,0.12998202
1195,0.1,0.035956684
1197,0.1,0.044663552
1202,0.1,0.16219693
1203,0.1,0.18352044
1205,0.1,0.2766605
1215,0.1,0.55190885
1216,0.1,0.10292297
1217,0.1,0.16700889
1218,0.1,0.13144036
1219,0.1,0.10916041
1220,0.1,0.0326178
1222,0.1,0.19339906
1223,0.1,0.05627571
1224,0.1,0.09363512
1225,0.1,0.27950218
1228,0.1,0.048925973
1231,0.1,0.34837368
1235,0.1,0.17701618
1237,0.1,0.13768709
1238,0.1,0.38569313
1239,0.1,0.06566288
1241,0.1,0.20124072
1243,0.1,0.17591186
1246,0.1,0.23612094
1249,0.1,0.039729144
1251,0.1,0.073307574
1253,0.1,0.040666576
1255,0.1,0.047206286
1256,0.1,0.17268984
1258,0.1,0.18529077
1262,0.1,0.12837
1263,0.1,0.09208395
1264,0.1,0.19299525
1266,0.1,0.13449235
1268,0.1,0.056694083
1271,0.1,0.09069605
1272,0.1,0.19792718
1274,0.1,0.21063733
1281,0.1,0.11262491
1282,0.1,0.16339298
1288,0.1,0.092147544
1289,0.1,0.14051424
1291,0.1,0.19509476
1292,0.1,0.082500555
1293,0.1,0.054233193
1297,0.1,0.13876365
1298,0.1,0.1809073
1300,0.1,0.058860246
1304,0.1,0.046661556
1305,0.1,0.18199474
1306,0.1,0.06755438
1311,0.1,0.054628056
1313,0.1,0.10660473
1315,0.1,0.3100063
1320,0.1,0.33063522
1321,0.1,0.23894714
1325,0.1,0.07099925
1327,0.1,0.17616136
1328,0.1,0.11067759
1330,0.1,0.045748234
1333,0.1,0.07097208
1336,0.1,0.16404541
1341,0.1,0.084403664
1342,0.1,0.18712936
1346,0.1,0.35399094
1351,0.1,0.1925446
1352,0.1,0.13488585
1353,0.1,0.04610729
1356,0.1,0.13068524
1358,0.1,0.06672637
1362,0.1,0.040666576
1363,0.1,0.19954558
1366,0.1,0.20000064
1368,0.1,0.048327506
1371,0.1,0.12178823
1376,0.1,0.108315766
1381,0.1,0.55310804
1383,0.1,0.120648764
1386,0.1,0.06260426
1389,0.1,0.08214957
1390,0.1,0.089645974
1393,0.1,0.053879064
1394,0.1,0.19048171
1396,0.1,0.19048452
1398,0.1,0.07930572
1399,0.1,0.31465364
1401,0.1,0.15558508
1402,0.1,0.38343716
1404,0.1,0.21257697
1407,0.1,0.23840888
